"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"b0.abund",13.2375336350292,11.1722715841546,1.729641467854,5.52377705353113,9.19571624225138,17.4192180681797,42.4473513841782,1.21939934738684,21,0,1
"b1.abund",0.672167114221429,0.215800208974878,0.270828653085876,0.525495258136098,0.664883318535833,0.808726074543889,1.12071552256511,1.02358110485062,127,0,0.999733333333333
"sd.abund",2.04047858110872,0.290637878672383,1.55558809041526,1.84752605999326,2.00918028552635,2.19323480475988,2.73164008440213,1.0855776532944,76,0,1
"b2.abund",0.319681585797127,0.216083810125239,-0.0854423089495492,0.171058629338252,0.312314943776594,0.463815905667423,0.753722829296346,1.01392019282692,162,1,0.935666666666667
"b0.psi",-0.123469704916856,0.313359257370206,-0.73618925497998,-0.334034748799159,-0.125071743785071,0.0853141358427061,0.494254946965935,1.00006095560505,28109,1,0.657333333333333
"b1.psi",0.67060431777477,0.323484753635009,0.0598558128739223,0.450848029918056,0.660690902996774,0.881363676970503,1.33616637254355,1.00035241754213,6583,0,0.9855
"b2.psi",0.75261930143251,0.339800872226777,0.119669998776116,0.519517605910209,0.739613839747351,0.973086580447735,1.4559106180203,1.00096452193995,2251,0,0.990883333333333
"alpha.p",0.570704063517199,0.112744902046653,0.37909528862079,0.490848620706777,0.560437746521618,0.640279651053195,0.818216276058431,1.0036039134972,1004,0,1
"beta.p",50.8189589704542,40.2615026104787,8.88424482119534,24.9494721478381,41.0292898373623,60.8807930021888,179.909614665306,1.28222234372731,18,0,1
"p.derived",0.0174494426034691,0.0121110220582015,0.00308556605272941,0.00943859245903184,0.0141828898711759,0.0219774844820053,0.0495481226936764,1.32427694555789,13,0,1
"deviance",759.548827241786,26.2378183575517,709.378780992381,741.685655476718,759.022385213577,776.960711222691,812.501103622458,1.00153500279299,1400,0,1
