"","plot","id.2014A","area.2014A","date.2014A","year.2014A","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","survey_effort.2014A","hr.rise.2014A","obs_skill.2014A","doy.2014A","HOURLYWindSpeed.2014A","HOURLYDRYBULBTEMPC.2014A","exclude.2014A","id.2014B","area.2014B","date.2014B","year.2014B","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","survey_effort.2014B","hr.rise.2014B","obs_skill.2014B","doy.2014B","HOURLYWindSpeed.2014B","HOURLYDRYBULBTEMPC.2014B","exclude.2014B","id.2015A","area.2015A","date.2015A","year.2015A","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","survey_effort.2015A","hr.rise.2015A","obs_skill.2015A","doy.2015A","HOURLYWindSpeed.2015A","HOURLYDRYBULBTEMPC.2015A","exclude.2015A","id.2015B","area.2015B","date.2015B","year.2015B","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","survey_effort.2015B","hr.rise.2015B","obs_skill.2015B","doy.2015B","HOURLYWindSpeed.2015B","HOURLYDRYBULBTEMPC.2015B","exclude.2015B","id.2015C","area.2015C","date.2015C","year.2015C","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","survey_effort.2015C","hr.rise.2015C","obs_skill.2015C","doy.2015C","HOURLYWindSpeed.2015C","HOURLYDRYBULBTEMPC.2015C","exclude.2015C","id.2015D","area.2015D","date.2015D","year.2015D","cipa_1.2015D","cipa_2.2015D","cipa_3.2015D","survey_effort.2015D","hr.rise.2015D","obs_skill.2015D","doy.2015D","HOURLYWindSpeed.2015D","HOURLYDRYBULBTEMPC.2015D","exclude.2015D","id.2015E","area.2015E","date.2015E","year.2015E","cipa_1.2015E","cipa_2.2015E","cipa_3.2015E","survey_effort.2015E","hr.rise.2015E","obs_skill.2015E","doy.2015E","HOURLYWindSpeed.2015E","HOURLYDRYBULBTEMPC.2015E","exclude.2015E","id.2015F","area.2015F","date.2015F","year.2015F","cipa_1.2015F","cipa_2.2015F","cipa_3.2015F","survey_effort.2015F","hr.rise.2015F","obs_skill.2015F","doy.2015F","HOURLYWindSpeed.2015F","HOURLYDRYBULBTEMPC.2015F","exclude.2015F","id.2016A","area.2016A","date.2016A","year.2016A","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","survey_effort.2016A","hr.rise.2016A","obs_skill.2016A","doy.2016A","HOURLYWindSpeed.2016A","HOURLYDRYBULBTEMPC.2016A","exclude.2016A","id.2016B","area.2016B","date.2016B","year.2016B","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","survey_effort.2016B","hr.rise.2016B","obs_skill.2016B","doy.2016B","HOURLYWindSpeed.2016B","HOURLYDRYBULBTEMPC.2016B","exclude.2016B","id.2016C","area.2016C","date.2016C","year.2016C","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","survey_effort.2016C","hr.rise.2016C","obs_skill.2016C","doy.2016C","HOURLYWindSpeed.2016C","HOURLYDRYBULBTEMPC.2016C","exclude.2016C","id.2016D","area.2016D","date.2016D","year.2016D","cipa_1.2016D","cipa_2.2016D","cipa_3.2016D","survey_effort.2016D","hr.rise.2016D","obs_skill.2016D","doy.2016D","HOURLYWindSpeed.2016D","HOURLYDRYBULBTEMPC.2016D","exclude.2016D"
"1",1,802,"SNWR",2014-06-18,2014,"0","0","0",60,6.56033352216085,1,168,10,24.4,"F",878,"SNWR",2014-09-17,2014,"0","0","0",30,4.94500418199433,1,259,6,21.7,"F",944,"SNWR",2015-06-08,2015,"0","0","0",30,9.31044551253319,1,158,13,25.6,"F",1001,"SNWR",2015-08-11,2015,"0","0","0",30,6.18274464865526,1,222,8,24.4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268,"SNWR",2016-09-01,2016,"0","0","0",30,12.5920574147171,1,244,5,21.1,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2,808,"SNWR",2014-06-25,2014,"0","0","0",30,11.7496368469795,1,175,3,20,"F",877,"SNWR",2014-09-16,2014,"0","0","0",30,11.1320001966423,1,258,9,20,"F",922,"SNWR",2015-06-01,2015,"0","0","0",30,12.5097597395711,1,151,11,19.4,"F",1048,"SNWR",2015-08-17,2015,"0","0","0",30,8.34499495665232,1,228,8,21.7,"F",1053,"SNWR",2015-08-21,2015,"0","0","0",30,9.11387101531029,1,232,15,24.4,"F",994,"SNWR",2015-08-25,2015,"0","0","0",30,7.01600765294499,1,236,17,20,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,"SNWR",2016-05-03,2016,"0","0","0",30,10.8515325415134,1,123,21,22.8,"F",1170,"SNWR",2016-08-24,2016,"0","0","0",30,7.87092764993509,1,236,13,25.6,"F",1267,"SNWR",2016-09-01,2016,"0","0","0",30,11.8253907480505,1,244,5,22.2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,817,"SNWR",2014-06-24,2014,"0","0","0",30,2.78871349328094,1,174,3,21.7,"F",842,"SNWR",2014-08-14,2014,"0","0","0",30,8.58412878771623,1,225,8,26.1,"F",951,"SNWR",2015-06-10,2015,"0","0","0",30,7.80239903628826,1,160,8,24.4,"F",1003,"SNWR",2015-08-11,2015,"0","0","0",30,8.04941131532192,1,222,6,25.6,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152,"SNWR",2016-06-07,2016,"0","0","0",30,10.4258378371265,1,158,13,21.7,"F",1167,"SNWR",2016-08-17,2016,"0","0","0",30,13.5463048637576,1,229,3,23.9,"F",1203,"SNWR",2016-08-31,2016,"0","0","0",30,7.26231124016974,0,243,7,23.9,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4,801,"SNWR",2014-06-18,2014,"1","1","1",60,4.99366685549418,1,168,15,21.7,"F",846,"SNWR",2014-08-19,2014,"0","0","0",30,10.5828816200627,1,230,8,27.8,"F",943,"SNWR",2015-06-08,2015,"4","0","0",30,8.47711217919985,1,158,13,25.6,"F",1002,"SNWR",2015-08-11,2015,"6","0","1",30,7.11607798198859,1,222,8,25.6,"F",1052,"SNWR",2015-08-21,2015,"0","0","0",30,8.06387101531029,1,232,14,23.9,"F",995,"SNWR",2015-08-25,2015,"2","8","3",30,7.71600765294499,1,236,14,21.1,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,"SNWR",2016-05-03,2016,"0","0","0",30,10.7681992081801,1,123,21,22.8,"F",1169,"SNWR",2016-08-24,2016,"0","8","13",30,7.12092764993509,1,236,13,25.6,"F",1204,"SNWR",2016-08-31,2016,"0","1","1",30,8.01231124016974,0,243,5,25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",5,839,"SNWR",2014-08-14,2014,"0","0","0",30,7.4507954543829,1,225,9,26.1,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957,"SNWR",2015-06-15,2015,"0","0","0",30,11.8291199924548,1,165,11,22.8,"F",977,"SNWR",2015-08-12,2015,"0","0","0",60,8.52931451737881,1,223,11,28.3,"F",1077,"SNWR",2015-08-18,2015,"0","0","0",60,4.80806371311347,0,229,9,16.1,"F",1088,"SNWR",2015-08-21,2015,"0","0","0",60,9.79720434864362,0,232,11,24.4,"T",1054,"SNWR",2015-08-21,2015,"0","0","0",30,10.4972043486436,1,232,10,25.6,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164,"SNWR",2016-08-17,2016,"0","0","0",30,10.1463048637576,1,229,3,27.2,"F",1172,"SNWR",2016-08-21,2016,"0","0","0",30,5.66515744421217,1,233,8,20,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6,792,"SNWR",2014-06-09,2014,"0","0","0",60,11.732853570448,1,159,3,23.9,"F",847,"SNWR",2014-08-19,2014,"0","0","0",30,12.3328816200627,1,230,5,27.2,"F",906,"SNWR",2015-05-20,2015,"0","0","0",30,12.1356157534652,1,139,6,16.1,"F",1078,"SNWR",2015-08-18,2015,"0","0","0",60,4.10806371311347,0,229,9,15.6,"F",1057,"SNWR",2015-09-02,2015,"0","0","0",30,6.83714211410946,1,244,8,24.4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,"SNWR",2016-08-23,2016,"0","0","0",30,9.2078921917412,1,235,14,27.2,"F",1205,"SNWR",2016-08-31,2016,"0","0","0",30,6.39564457350307,0,243,8,23.3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",7,797,"SNWR",2014-06-11,2014,"0","0","0",60,10.673173517651,1,161,13,26.7,"F",838,"SNWR",2014-08-14,2014,"0","0","0",30,6.6507954543829,1,225,11,24.4,"F",958,"SNWR",2015-06-15,2015,"0","0","0",30,12.5457866591215,1,165,10,23.3,"F",1011,"SNWR",2015-08-13,2015,"0","0","0",30,3.87584398057726,1,224,10,25,"F",992,"SNWR",2015-08-21,2015,"0","0","0",60,9.84720434864362,1,232,11,24.4,"F",996,"SNWR",2015-08-25,2015,"0","0","0",30,9.54934098627832,1,236,13,22.8,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139,"SNWR",2016-05-03,2016,"0","0","0",30,6.80153254151344,1,123,22,20.6,"F",1206,"SNWR",2016-08-23,2016,"0","0","0",30,7.8578921917412,0,235,15,27.8,"F",1207,"SNWR",2016-09-01,2016,"0","0","0",30,6.70872408138381,0,244,7,22.2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",8,867,"SNWR",2014-09-08,2014,"0","0","0",30,11.5107939194308,1,250,13,23.3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,"SNWR",2015-05-13,2015,"0","0","0",30,8.25678406205442,1,132,15,15.6,"F",1049,"SNWR",2015-08-17,2015,"0","0","0",30,10.4949949566523,1,228,0,17.2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1129,"SNWR",2016-06-16,2016,"0","0","0",30,7.39539176974032,1,167,7,20,"F",1173,"SNWR",2016-08-21,2016,"0","0","0",30,6.53182411087884,1,233,15,21.1,"F",1208,"SNWR",2016-08-30,2016,"0","0","0",30,8.13257128225433,0,242,6,25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9,861,"SNWR",2014-08-26,2014,"0","0","0",30,10.7741323974397,1,237,5,22.2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911,"SNWR",2015-05-27,2015,"0","0","0",30,5.33788298361831,1,146,6,22.2,"F",976,"SNWR",2015-07-02,2015,"0","0","0",30,10.4957989689377,1,182,7,24.4,"F",1010,"SNWR",2015-08-12,2015,"0","0","0",30,11.5459811840455,1,223,14,28.3,"F",1029,"SNWR",2015-08-21,2015,"0","0","0",30,7.08053768197695,1,232,13,22.8,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,"SNWR",2016-06-12,2016,"0","0","0",30,6.89325620942646,1,163,11,23.3,"F",1175,"SNWR",2016-08-21,2016,"0","0","0",30,11.4484907775455,1,233,8,22.2,"F",1209,"SNWR",2016-09-01,2016,"0","0","0",30,5.57539074805048,0,244,8,21.7,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",10,818,"SNWR",2014-06-25,2014,"0","0","0",30,11.5829701803128,1,175,3,20,"F",843,"SNWR",2014-08-14,2014,"0","0","0",30,9.43412878771623,1,225,10,26.7,"F",964,"SNWR",2015-06-18,2015,"0","0","0",30,7.91065752241347,1,168,7,21.7,"F",982,"SNWR",2015-08-20,2015,"0","0","0",30,10.7008319314321,1,231,9,21.7,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122,"SNWR",2016-06-16,2016,"0","0","0",30,8.76205843640698,1,167,5,22.2,"F",1185,"SNWR",2016-08-23,2016,"0","0","0",30,11.8245588584079,1,235,17,26.1,"F",1210,"SNWR",2016-08-31,2016,"0","0","0",30,8.86231124016974,0,243,5,25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
