"","id","area","date","year","plot","hele_1","hele_2","hele_3","liatris1_num","liatris2_num","liatris3_num","survey_effort","hr.rise","obs_skill","doy","HOURLYWindSpeed","survey.yrID"
"127",1001,"SNWR",2015-08-11,2015,1,"0","0","0",0,10.5,20,30,6.18274464865526,1,222,8,"2015A"
"129",1048,"SNWR",2015-08-17,2015,2,"0","0","0",0,0,0,30,8.34499495665232,1,228,8,"2015A"
"130",1053,"SNWR",2015-08-21,2015,2,"0","0","0",0,0,0,30,9.11387101531029,1,232,15,"2015B"
"131",994,"SNWR",2015-08-25,2015,2,"0","0","0",0,3,3,30,7.01600765294499,1,236,17,"2015C"
"133",1003,"SNWR",2015-08-11,2015,3,"0","0","0",20,20,20,30,8.04941131532192,1,222,6,"2015A"
"135",1002,"SNWR",2015-08-11,2015,4,"0","0","0",20,10.5,20,30,7.11607798198859,1,222,8,"2015A"
"136",1052,"SNWR",2015-08-21,2015,4,"0","0","0",20,20,20,30,8.06387101531029,1,232,14,"2015B"
"137",995,"SNWR",2015-08-25,2015,4,"0","0","0",20,20,20,30,7.71600765294499,1,236,14,"2015C"
"139",977,"SNWR",2015-08-12,2015,5,"0","0","0",20,20,20,60,8.52931451737881,1,223,11,"2015A"
"140",1077,"SNWR",2015-08-18,2015,5,"0","0","0",20,20,20,60,4.80806371311347,0,229,9,"2015B"
"141",1088,"SNWR",2015-08-21,2015,5,"1","0","1",20,20,20,60,9.79720434864362,0,232,11,"2015C"
"142",1054,"SNWR",2015-08-21,2015,5,"0","0","0",20,20,20,30,10.4972043486436,1,232,10,"2015D"
"144",1078,"SNWR",2015-08-18,2015,6,"0","0","0",20,20,3,60,4.10806371311347,0,229,9,"2015A"
"145",1057,"SNWR",2015-09-02,2015,6,"0","1","0",3,20,20,30,6.83714211410946,1,244,8,"2015B"
"147",1011,"SNWR",2015-08-13,2015,7,"0","0","0",20,0,0,30,3.87584398057726,1,224,10,"2015A"
"148",992,"SNWR",2015-08-21,2015,7,"1","0","0",20,10.5,3,60,9.84720434864362,1,232,11,"2015B"
"149",996,"SNWR",2015-08-25,2015,7,"0","0","0",3,20,0,30,9.54934098627832,1,236,13,"2015C"
"151",1049,"SNWR",2015-08-17,2015,8,"0","0","0",20,20,20,30,10.4949949566523,1,228,0,"2015A"
"154",1010,"SNWR",2015-08-12,2015,9,"0","0","0",20,20,20,30,11.5459811840455,1,223,14,"2015A"
"155",1029,"SNWR",2015-08-21,2015,9,"0","0","0",20,20,20,30,7.08053768197695,1,232,13,"2015B"
"163",1023,"SNWR",2015-08-17,2015,11,"0","0","0",20,20,20,30,6.64499495665232,1,228,6,"2015A"
"166",1024,"SNWR",2015-08-17,2015,12,"0","0","0",20,20,20,30,7.51166162331899,1,228,7,"2015A"
"167",1037,"SNWR",2015-08-25,2015,12,"0","0","0",20,20,3,30,8.48267431961166,1,236,11,"2015B"
"169",1000,"SNWR",2015-08-11,2015,13,"0","0","0",20,0,10.5,30,5.33274464865526,1,222,8,"2015A"
"171",1012,"SNWR",2015-08-13,2015,14,"0","0","0",0,3,0,30,5.02584398057726,1,224,9,"2015A"
"172",1051,"SNWR",2015-08-21,2015,14,"0","0","0",0,0,10.5,30,7.01387101531029,1,232,13,"2015B"
"174",1046,"SNWR",2015-08-17,2015,15,"0","0","0",0,0,0,30,5.82832828998566,1,228,8,"2015A"
"175",1050,"SNWR",2015-08-21,2015,15,"0","0","0",0,0,0,30,5.76387101531029,1,232,11,"2015B"
"180",1047,"SNWR",2015-08-17,2015,16,"0","0","0",0,0,0,30,7.14499495665232,1,228,6,"2015A"
"182",1025,"SNWR",2015-08-17,2015,17,"0","0","0",0,0,0,30,8.84499495665232,1,228,8,"2015A"
"184",1026,"SNWR",2015-08-17,2015,18,"0","0","0",0,0,0,30,10.2949949566523,1,228,0,"2015A"
"186",1014,"SNWR",2015-08-13,2015,19,"0","0","0",20,0,0,30,7.74251064724392,1,224,9,"2015A"
"187",1041,"SNWR",2015-08-26,2015,19,"0","0","0",20,3,0,30,9.49571295539538,1,237,3,"2015B"
"190",1079,"SNWR",2015-08-13,2015,20,"0","0","0",10.5,0,0,60,9.95917731391059,0,224,6,"2015A"
"191",1066,"SNWR",2015-09-15,2015,20,"0","0","0",0,0,0,30,9.67391217211882,1,257,21,"2015B"
"193",1018,"SDSF",2015-08-15,2015,21,"0","0","0",3,0,0,30,4.58546987169319,1,226,10,"2015A"
"195",985,"SDSF",2015-08-17,2015,22,"0","0","0",3,3,0,30,9.71166162331899,1,228,5,"2015A"
"196",1086,"SDSF",2015-08-21,2015,22,"1","0","0",3,10.5,3,60,5.96387101531029,0,232,11,"2015B"
"197",1039,"SDSF",2015-08-25,2015,22,"0","0","0",10.5,10.5,0,30,10.3826743196117,1,236,10,"2015C"
"199",1080,"SDSF",2015-08-13,2015,23,"0","0","0",0,0,0,60,7.95917731391059,0,224,9,"2015A"
"200",1060,"SDSF",2015-09-02,2015,23,"0","0","0",0,0,0,30,10.8038087807761,1,244,6,"2015B"
"202",979,"SDSF",2015-08-12,2015,24,"0","0","0",0,3,0,60,10.7793145173788,1,223,17,"2015A"
"203",1072,"SDSF",2015-08-17,2015,24,"0","0","0",0,0,0,60,8.02832828998566,0,228,7,"2015B"
"204",1038,"SDSF",2015-08-25,2015,24,"0","0","0",20,0,0,30,9.46600765294499,1,236,13,"2015C"
"206",978,"SDSF",2015-08-12,2015,25,"0","0","0",0,0,0,60,9.92931451737881,1,223,11,"2015A"
"208",1075,"SDSF",2015-08-17,2015,26,"0","0","0",0,0,0,60,9.54499495665232,0,228,5,"2015A"
"209",1061,"SDSF",2015-09-16,2015,26,"0","0","0",0,0,0,30,6.35360801908705,1,258,13,"2015B"
"212",1022,"SDSF",2015-08-15,2015,27,"0","0","0",10.5,0,3,30,9.26880320502652,1,226,13,"2015A"
"213",1085,"SDSF",2015-08-21,2015,27,"0","1","0",0,10.5,3,60,5.33053768197695,0,232,11,"2015B"
"214",997,"SDSF",2015-08-26,2015,27,"0","0","0",3,0,10.5,60,7.19571295539538,1,237,0,"2015C"
"216",989,"SDSF",2015-08-20,2015,28,"0","0","0",0,0,0,30,9.15083193143209,1,231,13,"2015A"
"217",1040,"SDSF",2015-08-26,2015,28,"0","0","0",0,0,0,30,6.06237962206205,1,237,6,"2015B"
"219",1043,"SDSF",2015-08-14,2015,29,"0","0","0",0,0,0,30,9.77233851095041,1,225,0,"2015A"
"222",1074,"SDSF",2015-08-17,2015,30,"0","0","0",0,0,0,60,8.67832828998566,0,228,8,"2015A"
"223",1059,"SDSF",2015-09-02,2015,30,"0","0","0",0,0,0,30,10.2204754474428,1,244,6,"2015B"
"225",981,"SDSF",2015-08-13,2015,31,"0","0","0",0,0,3,30,7.59251064724392,1,224,9,"2015A"
"227",1081,"SDSF",2015-08-13,2015,32,"0","0","0",0,0,0,60,7.22584398057726,0,224,9,"2015A"
"228",990,"SDSF",2015-08-21,2015,32,"0","0","0",0,0,0,60,5.13053768197695,1,232,11,"2015B"
"231",999,"SDSF",2015-08-11,2015,33,"4","1","4",20,10.5,20,30,4.34941131532192,1,222,7,"2015A"
