"","plot","hele_1.2015A","hele_2.2015A","hele_3.2015A","hele_1.2015B","hele_2.2015B","hele_3.2015B","hele_1.2016A","hele_2.2016A","hele_3.2016A","hele_1.2016B","hele_2.2016B","hele_3.2016B","doy.2015A","doy.2015B","doy.2016A","doy.2016B","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","surv_ct15","surv_ct16","totgrass.z","bunchgrass.z","oaks.z","canopy.z","numwood.z","mounds.z","blowouts.z","plotlvl_liatris.z","plotlvl_milkweed.z","litter.z","DY_pre2015","DY_ge2015","DY_pre2014","DY_ge2014","UDY_ge2015","burned_pre2015","harvest_pre2015","type_pre2015","burnGraze_ge2015","harvest_ge2015","type_ge2015","elev_CV.z"
"1",1,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,222,NA,244,NA,0,10.5,20,NA,NA,NA,0,0,20,NA,NA,NA,3,3,1.03288677317772,1.50132107834989,0.691442827025023,-0.859152325208743,-0.703433737820583,1.86812068191265,-0.130188910980824,0.706962826246229,0,-0.957177961161705,0,0,0,0,0,0,0,"none",0,0,"none",1.7037760007538
"2",2,"0","0","0","0","0","0","0","0","0","0","0","0",228,232,236,244,0,0,0,0,0,0,0,0,0,0,3,0,6,6,1.21327029962901,1.05693154556352,-0.0972244006037246,-0.65786248638578,-1.13299306710899,-0.54209406186269,-0.130188910980824,-0.712692998781191,-0.103926632192894,-0.893474069781512,0,0,0,0,0,0,0,"none",0,0,"none",0.0786786752430142
"3",3,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",222,NA,229,243,20,20,20,NA,NA,NA,0,0,0,0,0,0,3,6,1.52894147091876,2.05680799433285,2.63682198850927,-1.30337817640425,0.298871363852354,0.904034784402512,-0.130188910980824,0.401842768329888,-0.519633160964472,-1.0208818525419,1,0,1,0,0,1,0,"burned",0,0,"none",-1.02517261887525
"4",4,"0","0","0","0","0","0","0","0","0","0","0","0",222,232,236,243,20,10.5,20,20,20,20,20,10.5,10.5,0,3,3,6,6,1.25836618124183,1.11248023716181,2.37393291263302,-1.07432422188157,-0.417060851628316,2.35016363066771,-0.130188910980824,1.81181224231234,1.97460601166499,-0.82977017840132,1,0,1,0,0,1,0,"burned",0,0,"none",-0.115771090055071
"5",5,"0","0","0","0","0","0","0","0","0","0","0","0",223,229,229,233,20,20,20,20,20,20,20,10.5,20,20,20,20,6,6,2.16028381349825,1.94571061113626,1.37495442430327,-1.30337817640425,-1.04708120125131,-0.54209406186269,-0.130188910980824,2.73599846619115,0.311779896578683,-0.957177961161705,1,0,1,0,0,1,0,"burned",0,0,"none",-0.67493025930597
"6",6,"0","0","0","0","1","0","0","0","0","0","0","0",229,244,235,243,20,20,3,3,20,20,10.5,0,3,0,0,0,6,6,1.01800513224549,1.34411828112671,2.26089061000623,-0.933074283259245,0.0124984776600864,-0.54209406186269,-0.130188910980824,0.68460970845016,-0.519633160964472,-0.543102667190454,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-1.020466569501
"7",7,"0","0","0","1","0","0","0","0","0","0","0","0",224,232,235,244,20,0,0,20,10.5,3,0,0,0,3,0,0,6,6,-0.798006020302811,-0.753955800540945,-0.0446465854284749,-1.07432422188157,-0.216599831293728,-0.0600511131076228,-0.130188910980824,0.140916687056192,0.727486425350261,-0.606806558570646,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-1.08872512830084
"8",8,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",228,NA,233,242,20,20,20,NA,NA,NA,20,20,3,20,20,10.5,3,6,0.762311483500798,-0.831723968778559,1.32237660912802,-1.30337817640425,0.127047632136994,-0.54209406186269,-0.130188910980824,2.21319041373801,0.311779896578683,-0.82977017840132,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.609093607606845
"9",9,"0","0","0","0","0","0","0","0","0","0","0","0",223,232,233,244,20,20,20,20,20,20,20,20,20,20,20,20,6,6,1.34855794446747,0.390347246383961,1.00690971807652,-1.30337817640425,-1.16163035572821,1.86812068191265,-0.130188910980824,2.77835174201528,0.311779896578683,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.720892767894142
"10",10,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,NA,235,243,NA,NA,NA,NA,NA,NA,0,20,3,0,0,0,0,6,2.29557145833672,2.39010014392263,2.11104383675677,-1.30337817640425,-1.30481679882435,-0.0600511131076228,-0.130188910980824,-0.0541076130008797,-0.519633160964472,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.0480408271243538
"11",11,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",228,NA,236,236,20,20,20,NA,NA,NA,3,20,20,20,20,20,3,6,2.20537969511107,0.168152479990775,1.26979879395277,-1.30337817640425,-0.159325254055274,-0.54209406186269,-0.130188910980824,2.39723108359231,0.311779896578683,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.130022424582803
"12",12,"0","0","0","0","0","0","0","0","0","0","0","0",228,236,234,244,20,20,20,20,20,3,20,20,20,0,0,0,6,6,-0.41018143843255,-0.220688361197299,1.26979879395277,-1.30337817640425,1.95983410376751,-0.54209406186269,-0.130188910980824,1.63089169515041,1.55889948289342,-0.957177961161705,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.144115263949395
"13",13,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",222,NA,235,237,20,0,10.5,NA,NA,NA,10.5,0,10.5,3,20,0,3,6,1.39365382608029,1.83461322793967,1.79557694570527,-1.30337817640425,-0.846620180916717,0.421991835647445,-0.130188910980824,0.682746948633821,-0.519633160964472,-1.0208818525419,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.885690187367911
"14",14,"0","0","0","0","0","0","0","0","0","0","0","0",224,232,235,245,0,3,0,0,0,10.5,0,0,3,3,0,0,6,6,-0.635660846496655,-0.720626585581967,-0.149802215778974,-1.09514730865635,1.35845104276375,-0.0600511131076228,-0.130188910980824,-0.50755657400685,0.727486425350261,-0.256435155979588,1,1,1,1,1,1,0,"burned",1,0,"burnGraze",-0.0288295561419421
"15",15,"0","0","0","0","0","0","0","0","0",NA,NA,NA,228,232,245,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,3,1.21327029962901,1.00138285396522,0.165664675272524,-0.692567631010428,-0.703433737820583,-0.0600511131076228,-0.130188910980824,-0.760519357065696,0.311779896578683,-0.702362395640935,0,0,0,0,0,0,0,"none",0,0,"none",2.40440293053765
"16",16,"0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,228,NA,235,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3,3,-0.297441734400497,-0.137365323799855,-0.60985809856241,1.88949512906344,-0.882416791690751,-0.54209406186269,-0.130188910980824,-0.690639253098462,-0.519633160964472,-0.914708699392191,0,0,0,0,0,0,0,"none",0,0,"none",0.289445680376615
"17",17,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",228,NA,238,244,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.590564964883834,-0.831723968778559,-0.412691291655224,0.84834079032398,1.15799002242916,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,0.0939362466114702,0,1,0,1,0,0,0,"none",0,1,"harvest",0.413756090311875
"18",18,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",228,NA,238,247,0,0,0,NA,NA,NA,0,0,0,0,0,0,3,6,-0.770948491335118,-0.831723968778559,-0.675580367531473,-0.0609339988418199,-0.502972717485996,-0.54209406186269,-0.130188910980824,-0.760519357065696,-0.519633160964472,-0.511250721500358,0,1,0,1,0,0,0,"none",0,1,"harvest",0.797514895691434
