"","plot","id.2015A","area.2015A","date.2015A","year.2015A","hele_1.2015A","hele_2.2015A","hele_3.2015A","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","survey_effort.2015A","hr.rise.2015A","obs_skill.2015A","doy.2015A","HOURLYWindSpeed.2015A","id.2015B","area.2015B","date.2015B","year.2015B","hele_1.2015B","hele_2.2015B","hele_3.2015B","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","survey_effort.2015B","hr.rise.2015B","obs_skill.2015B","doy.2015B","HOURLYWindSpeed.2015B","id.2015C","area.2015C","date.2015C","year.2015C","hele_1.2015C","hele_2.2015C","hele_3.2015C","liatris1_num.2015C","liatris2_num.2015C","liatris3_num.2015C","survey_effort.2015C","hr.rise.2015C","obs_skill.2015C","doy.2015C","HOURLYWindSpeed.2015C","id.2015D","area.2015D","date.2015D","year.2015D","hele_1.2015D","hele_2.2015D","hele_3.2015D","liatris1_num.2015D","liatris2_num.2015D","liatris3_num.2015D","survey_effort.2015D","hr.rise.2015D","obs_skill.2015D","doy.2015D","HOURLYWindSpeed.2015D","id.2015E","area.2015E","date.2015E","year.2015E","hele_1.2015E","hele_2.2015E","hele_3.2015E","liatris1_num.2015E","liatris2_num.2015E","liatris3_num.2015E","survey_effort.2015E","hr.rise.2015E","obs_skill.2015E","doy.2015E","HOURLYWindSpeed.2015E","id.2016A","area.2016A","date.2016A","year.2016A","hele_1.2016A","hele_2.2016A","hele_3.2016A","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","survey_effort.2016A","hr.rise.2016A","obs_skill.2016A","doy.2016A","HOURLYWindSpeed.2016A","id.2016B","area.2016B","date.2016B","year.2016B","hele_1.2016B","hele_2.2016B","hele_3.2016B","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","survey_effort.2016B","hr.rise.2016B","obs_skill.2016B","doy.2016B","HOURLYWindSpeed.2016B","id.2016C","area.2016C","date.2016C","year.2016C","hele_1.2016C","hele_2.2016C","hele_3.2016C","liatris1_num.2016C","liatris2_num.2016C","liatris3_num.2016C","survey_effort.2016C","hr.rise.2016C","obs_skill.2016C","doy.2016C","HOURLYWindSpeed.2016C","avg_liatris"
"127",1,1001,"SNWR",2015-08-11,2015,"0","0","0",0,10.5,20,30,6.18274464865526,1,222,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1268,"SNWR",2016-09-01,2016,"0","0","0",0,0,20,30,12.5920574147171,1,244,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41666666666667
"129",2,1048,"SNWR",2015-08-17,2015,"0","0","0",0,0,0,30,8.34499495665232,1,228,8,1053,"SNWR",2015-08-21,2015,"0","0","0",0,0,0,30,9.11387101531029,1,232,15,994,"SNWR",2015-08-25,2015,"0","0","0",0,3,3,30,7.01600765294499,1,236,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170,"SNWR",2016-08-24,2016,"0","0","0",0,0,0,30,7.87092764993509,1,236,13,1267,"SNWR",2016-09-01,2016,"0","0","0",0,3,0,30,11.8253907480505,1,244,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08854166666667
"133",3,1003,"SNWR",2015-08-11,2015,"0","0","0",20,20,20,30,8.04941131532192,1,222,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,"SNWR",2016-08-17,2016,"0","0","0",0,0,0,30,13.5463048637576,1,229,3,1203,"SNWR",2016-08-31,2016,"0","0","0",0,0,0,30,7.26231124016974,0,243,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84166666666667
"135",4,1002,"SNWR",2015-08-11,2015,"0","0","0",20,10.5,20,30,7.11607798198859,1,222,8,1052,"SNWR",2015-08-21,2015,"0","0","0",20,20,20,30,8.06387101531029,1,232,14,995,"SNWR",2015-08-25,2015,"0","0","0",20,20,20,30,7.71600765294499,1,236,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169,"SNWR",2016-08-24,2016,"0","0","0",20,10.5,10.5,30,7.12092764993509,1,236,13,1204,"SNWR",2016-08-31,2016,"0","0","0",0,3,3,30,8.01231124016974,0,243,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1197916666667
"139",5,977,"SNWR",2015-08-12,2015,"0","0","0",20,20,20,60,8.52931451737881,1,223,11,1077,"SNWR",2015-08-18,2015,"0","0","0",20,20,20,60,4.80806371311347,0,229,9,1088,"SNWR",2015-08-21,2015,"1","0","1",20,20,20,60,9.79720434864362,0,232,11,1054,"SNWR",2015-08-21,2015,"0","0","0",20,20,20,30,10.4972043486436,1,232,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164,"SNWR",2016-08-17,2016,"0","0","0",20,10.5,20,30,10.1463048637576,1,229,3,1172,"SNWR",2016-08-21,2016,"0","0","0",20,20,20,30,5.66515744421217,1,233,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.890350877193
"144",6,1078,"SNWR",2015-08-18,2015,"0","0","0",20,20,3,60,4.10806371311347,0,229,9,1057,"SNWR",2015-09-02,2015,"0","1","0",3,20,20,30,6.83714211410946,1,244,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,"SNWR",2016-08-23,2016,"0","0","0",10.5,0,3,30,9.2078921917412,1,235,14,1205,"SNWR",2016-08-31,2016,"0","0","0",0,0,0,30,6.39564457350307,0,243,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30128205128205
"147",7,1011,"SNWR",2015-08-13,2015,"0","0","0",20,0,0,30,3.87584398057726,1,224,10,992,"SNWR",2015-08-21,2015,"1","0","0",20,10.5,3,60,9.84720434864362,1,232,11,996,"SNWR",2015-08-25,2015,"0","0","0",3,20,0,30,9.54934098627832,1,236,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206,"SNWR",2016-08-23,2016,"0","0","0",0,0,0,30,7.8578921917412,0,235,15,1207,"SNWR",2016-09-01,2016,"0","0","0",3,0,0,30,6.70872408138381,0,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49479166666667
"151",8,1049,"SNWR",2015-08-17,2015,"0","0","0",20,20,20,30,10.4949949566523,1,228,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173,"SNWR",2016-08-21,2016,"0","0","0",20,20,3,30,6.53182411087884,1,233,15,1208,"SNWR",2016-08-30,2016,"0","0","0",20,20,10.5,30,8.13257128225433,0,242,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1916666666667
"154",9,1010,"SNWR",2015-08-12,2015,"0","0","0",20,20,20,30,11.5459811840455,1,223,14,1029,"SNWR",2015-08-21,2015,"0","0","0",20,20,20,30,7.08053768197695,1,232,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,"SNWR",2016-08-21,2016,"0","0","0",20,20,20,30,11.4484907775455,1,233,8,1209,"SNWR",2016-09-01,2016,"0","0","0",20,20,20,30,5.57539074805048,0,244,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1089743589744
"163",11,1023,"SNWR",2015-08-17,2015,"0","0","0",20,20,20,30,6.64499495665232,1,228,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186,"SNWR",2016-08-24,2016,"0","0","0",3,20,20,30,4.60426098326842,1,236,13,1211,"SNWR",2016-08-24,2016,"0","0","0",20,20,20,30,8.45426098326842,0,236,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1416666666667
