"","id","area","date","year","month","day","plot","survey_end","survey_length","observer","wind","cloud","rain","cipa_1","cipa_2","cipa_3","hele_1","hele_2","hele_3","liatris_1","liatris_2","liatris_3","puccoon_1","puccoon_2","puccoon_3","cipu_2","notes","num_obs","doy","hr.rise","sd.hour.rnd","HOURLYDRYBULBTEMPC","HOURLYWindSpeed","survey_effort","liatris1_num","liatris2_num","liatris3_num","obs_skill"
"1",802,"SNWR",2014-06-18,2014,6,18,1,"1159",60,"CES","2 - Moderate wind with gusts","2 - 50 to 90% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,168,6.56033352216085,2014-06-18 11:00:00,24.4,10,60,NA,NA,NA,1
"3",878,"SNWR",2014-09-17,2014,9,17,1,"1123",30,"CES","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,259,4.94500418199433,2014-09-17 11:00:00,21.7,6,30,NA,NA,NA,1
"4",808,"SNWR",2014-06-25,2014,6,25,2,"1642",30,"CES","1 - Light Breeze","2 - 50 to 90% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,175,11.7496368469795,2014-06-25 16:00:00,20,3,30,NA,NA,NA,1
"5",877,"SNWR",2014-09-16,2014,9,16,2,"1733",30,"CES","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,258,11.1320001966423,2014-09-16 17:00:00,20,9,30,NA,NA,NA,1
"6",817,"SNWR",2014-06-24,2014,6,24,3,"744",30,"CES","0 - No Wind","0 - < 10% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,174,2.78871349328094,2014-06-24 07:00:00,21.7,3,30,NA,NA,NA,1
"7",842,"SNWR",2014-08-14,2014,8,14,3,"1422",30,"CES","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,225,8.58412878771623,2014-08-14 14:00:00,26.1,8,30,NA,NA,NA,1
"8",801,"SNWR",2014-06-18,2014,6,18,4,"1029",60,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","1","1","1","x","x","x","","","","","","","","",1,168,4.99366685549418,2014-06-18 09:00:00,21.7,15,60,NA,NA,NA,1
"10",846,"SNWR",2014-08-19,2014,8,19,4,"1629",30,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,230,10.5828816200627,2014-08-19 16:00:00,27.8,8,30,NA,NA,NA,1
"11",796,"SNWR",2014-06-11,2014,6,11,5,"1252",60,"CES","1 - Light Breeze","3 - > 90% cover","0 - No rain","x","x","x","x","x","x","","","","","","","","",1,161,7.13984018431769,2014-06-11 12:00:00,25,10,60,NA,NA,NA,1
"12",839,"SNWR",2014-08-14,2014,8,14,5,"1313",30,"EPH","2 - Moderate wind with gusts","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,225,7.4507954543829,2014-08-14 13:00:00,26.1,9,30,NA,NA,NA,1
"13",792,"SNWR",2014-06-09,2014,6,9,6,"1710",60,"EPH","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,159,11.732853570448,2014-06-09 16:00:00,23.9,3,60,NA,NA,NA,1
"14",847,"SNWR",2014-08-19,2014,8,19,6,"1811",30,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,230,12.3328816200627,2014-08-19 18:00:00,27.2,5,30,NA,NA,NA,1
"15",797,"SNWR",2014-06-11,2014,6,11,7,"1630",60,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,161,10.673173517651,2014-06-11 15:00:00,26.7,13,60,NA,NA,NA,1
"16",838,"SNWR",2014-08-14,2014,8,14,7,"1224",30,"EPH","2 - Moderate wind with gusts","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,225,6.6507954543829,2014-08-14 12:00:00,24.4,11,30,NA,NA,NA,1
"17",798,"SNWR",2014-06-12,2014,6,12,8,"143",60,"CES","2 - Moderate wind with gusts","2 - 50 to 90% cover","0 - No rain","x","x","x","x","x","x","","","","","","","","",1,162,8.22568053119712,2014-06-12 13:00:00,16.1,18,60,NA,NA,NA,1
"18",867,"SNWR",2014-09-08,2014,9,8,8,"1745",30,"CES","2 - Moderate wind with gusts","3 - > 90% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,250,11.5107939194308,2014-09-08 17:00:00,23.3,13,30,NA,NA,NA,1
"19",799,"SNWR",2014-06-12,2014,6,12,9,"1520",60,"CES","2 - Moderate wind with gusts","3 - > 90% cover","0 - No rain","x","x","x","x","x","x","","","","","","","","",1,162,9.90901386453046,2014-06-12 14:00:00,16.1,20,60,NA,NA,NA,1
"20",861,"SNWR",2014-08-26,2014,8,26,9,"1647",30,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","3","0","0","","","","","","","","",1,237,10.7741323974397,2014-08-26 16:00:00,22.2,5,30,NA,NA,NA,1
"21",818,"SNWR",2014-06-25,2014,6,25,10,"1634",30,"EPH","1 - Light Breeze","3 - > 90% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,175,11.5829701803128,2014-06-25 16:00:00,20,3,30,NA,NA,NA,1
"22",843,"SNWR",2014-08-14,2014,8,14,10,"1510",30,"CES","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,225,9.43412878771623,2014-08-14 15:00:00,26.7,10,30,NA,NA,NA,1
"23",786,"SNWR",2014-06-02,2014,6,2,11,"1833",60,"CES","3 - Strong wind with gusts","2 - 50 to 90% cover","0 - No rain","x","x","x","x","x","x","","","","","","","","",1,152,13.0211351976792,2014-06-02 18:00:00,19.4,18,60,NA,NA,NA,1
"24",862,"SNWR",2014-08-26,2014,8,26,11,"1744",30,"CES","0 - No Wind","2 - 50 to 90% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,237,11.7574657307731,2014-08-26 17:00:00,21.1,6,30,NA,NA,NA,1
"25",789,"SNWR",2014-06-04,2014,6,4,12,"1048",30,"EPH","0 - No Wind","0 - < 10% cover","0 - No rain","0","4","3","x","x","x","","","","","","","","",2,154,5.53725063621998,2014-06-04 10:00:00,23.9,7,60,NA,NA,NA,1
"26",856,"SNWR",2014-08-25,2014,8,25,12,"1820",30,"CES","1 - Light Breeze","1 - 10 to 50% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,236,12.3444271609518,2014-08-25 18:00:00,22.2,14,30,NA,NA,NA,1
"27",788,"SNWR",2014-06-04,2014,6,4,13,"951",30,"EPH","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",2,154,4.88725063621998,2014-06-04 09:00:00,23.3,7,60,NA,NA,NA,1
"28",879,"SNWR",2014-09-17,2014,9,17,13,"1222",30,"CES","1 - Light Breeze","0 - < 10% cover","0 - No rain","0","0","0","0","0","0","","","","","","","","",1,259,5.94500418199433,2014-09-17 12:00:00,22.2,0,30,NA,NA,NA,1
"29",832,"SNWR",2014-07-10,2014,7,10,14,"1630",30,"CES","1 - Light Breeze","2 - 50 to 90% cover","0 - No rain","0","0","0","x","x","x","","","","","","","","",1,190,11.3987686183055,2014-07-10 16:00:00,28.9,9,30,NA,NA,NA,1
