plot,area,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,pct_canopy,num_woody_stems,pct_bunchgrass,num_mounds,pct_bluestem,num_blowouts,num_liatris_stems,num_open_oaks,num_milkweed_stems,litter_depth,pct_nonbunchgrass,tot_grass
1,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,148,151,154,79,82,85,132,135,138,120,123,126,28,28,28,58,58,58,33,33,33,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,12.8,5,42,1,1,0,0,5.2,0.25,0.025,5,47
2,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,223,226,229,90,93,96,30,33,36,97,100,103,36,36,36,50,50,50,24,24,24,46,46,46,1,1,1,1,1,1,0,0,0,0,0,0,18.6,2,34,0,1,0,0,2.2,0.2,0.05,17,51
3,SNWR,0,0,0,1,0,0,0,0,0,0,0,0,264,267,270,127,130,133,65,68,71,195,198,201,39,39,39,60,60,60,24,24,24,54,54,54,1,1,1,1,1,1,0,0,0,0,0,0,0,12,52,0.6,2,0,0,12.6,0,0,6,58
4,SNWR,0,0,0,0,0,0,0,1,1,1,1,1,211,214,217,99,102,105,166,169,172,132,135,138,44,44,44,49,49,49,36,36,36,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,6.6,7,35,1.2,1,0,0,11.6,1.2,0.075,17,52
5,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,47,50,53,247,250,253,63,66,69,166,169,172,20,20,20,44,44,44,26,26,26,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,0,2.6,50,0,8,0,0,7.8,0.4,0.025,22,72
6,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,79,82,85,257,260,263,205,208,211,128,131,134,20,20,20,46,46,46,35,35,35,46,46,46,1,1,1,1,1,1,0,0,0,0,0,0,10.67,10,39.17,0,18.33,0,0,11.17,0,0.1875,7.5,46.67
7,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,116,119,122,265,268,271,206,209,212,159,162,165,20,20,20,55,55,55,36,36,36,48,48,48,1,1,1,1,1,1,0,0,0,0,0,0,6.6,8.4,1.4,0.2,0,0,0,2.4,0.6,0.1625,5,6.4
8,SNWR,0,0,0,0,0,1,0,0,0,0,0,0,254,257,260,238,241,244,103,106,109,88,91,94,33,33,33,57,57,57,26,26,26,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,0,10.8,0,0,0,0,0,7.6,0.4,0.075,41,41
9,SNWR,0,0,0,1,1,1,1,1,0,1,1,0,71,74,77,216,219,222,234,237,240,157,160,163,37,37,37,55,55,55,35,35,35,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,0,1.8,22,1,0,0,0.4,6.4,0.4,0,32,54
10,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,76,79,82,32,35,38,39,42,45,60,63,66,26,26,26,54,54,54,33,33,33,46,46,46,1,1,1,1,1,1,0,0,0,0,0,0,0,0.8,58,0.2,16.25,0,0,10.6,0,0,17,75
11,SNWR,0,0,0,0,0,2,0,0,0,0,0,0,112,115,118,163,166,169,47,50,53,20,23,26,35,35,35,60,60,60,39,39,39,55,55,55,1,1,1,1,1,1,0,0,0,0,0,0,0,8.8,18,0,11,0,0,7.4,0.4,0,55,73
12,SNWR,0,0,0,3,0,1,0,0,0,0,0,0,263,266,269,189,192,195,226,229,232,261,264,267,36,36,36,55,55,55,38,38,38,59,59,59,1,1,1,1,1,1,0,0,0,0,0,0,0,23.6,11,0,0,0,0,7.4,1,0.025,4,15
13,SNWR,1,0,0,0,1,1,0,0,0,0,0,0,166,169,172,136,139,142,137,140,143,50,53,56,26,26,26,58,58,58,36,36,36,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,0,4,48,0.4,1,0,0,9.4,0,0,7,55
14,SNWR,0,0,0,0,0,0,0,0,0,0,0,0,119,122,125,218,221,224,80,83,86,82,85,88,26,26,26,46,46,46,33,33,33,53,53,53,1,1,1,1,1,1,0,0,0,0,0,0,6,19.4,2,0.2,2,0,0,2,0.6,0.3,8,10
