Rowid_,PLOT__,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,21,157408,157408.000000000000000,293,299,6,296.267775462492350,1.383617041934801,46634918.000000000000000,7,296,294,296
,22,159848,159848.000000000000000,294,299,5,295.292027426054740,0.985912988883853,47201840.000000000000000,6,295,299,295
,23,160687,160687.000000000000000,293,298,5,295.274589730345330,0.703116469883144,47446788.000000000000000,6,295,298,295
,24,160519,160519.000000000000000,293,303,10,296.133766096225370,2.051456155435701,47535096.000000000000000,11,297,303,296
,25,160566,160566.000000000000000,295,312,17,302.906225477373770,3.475177634385906,48636441.000000000000000,18,303,295,303
,26,165035,165035.000000000000000,295,302,7,298.499324385736370,1.515444318618314,49262836.000000000000000,8,298,295,298
,27,165244,165244.000000000000000,294,301,7,296.964966957953100,1.323998691799015,49071679.000000000000000,8,297,301,297
,28,165879,165879.000000000000000,295,300,5,296.527125193665260,0.882923765183513,49187623.000000000000000,6,297,300,297
,29,165301,165301.000000000000000,295,298,3,295.551400173017730,0.721739209492406,48854942.000000000000000,4,295,298,295
,30,163994,163994.000000000000000,294,300,6,296.632937790406970,1.042343870613218,48646022.000000000000000,7,296,294,297
,31,164872,164872.000000000000000,294,299,5,295.900911009753030,0.963563541859077,48785775.000000000000000,6,296,299,296
,32,164564,164564.000000000000000,294,299,5,295.403289905447140,0.769194078042191,48612747.000000000000000,6,295,299,295
,33,162656,162656.000000000000000,292,299,7,294.958501377139500,1.323725589463228,47976770.000000000000000,8,295,299,295
,34,158895,158895.000000000000000,294,300,6,296.724692406935390,0.992072385083039,47148070.000000000000000,7,297,294,297
,35,162475,162475.000000000000000,295,300,5,297.410955531620230,0.980142897454731,48321845.000000000000000,6,298,300,298
,36,160490,160490.000000000000000,294,298,4,295.700243005794730,0.730870825468682,47456932.000000000000000,5,296,298,296
,37,159079,159079.000000000000000,291,297,6,295.225894052640510,1.367442122262774,46964240.000000000000000,7,296,291,296
,38,162303,162303.000000000000000,292,317,25,299.678496392549730,4.772703167794136,48638719.000000000000000,26,296,317,298
,39,161777,161777.000000000000000,292,305,13,296.540602186961050,2.263557423447499,47973449.000000000000000,14,296,305,296
,40,161216,161216.000000000000000,292,297,5,293.579377977371960,1.330371228024240,47329693.000000000000000,6,293,297,293
,41,162342,162342.000000000000000,291,298,7,294.825097633391240,1.557586183828043,47862496.000000000000000,8,295,298,295
,42,159629,159629.000000000000000,290,302,12,294.376692205050460,1.957856351298383,46991057.000000000000000,13,294,302,294
,43,159668,159668.000000000000000,289,302,13,296.288749154495580,2.728542686565469,47307832.000000000000000,14,298,289,297
,45,157381,157381.000000000000000,290,308,18,297.913776122911940,3.479542663642175,46885968.000000000000000,19,299,290,298
,46,156141,156141.000000000000000,288,307,19,290.108165055943000,3.582915428945205,45297779.000000000000000,20,288,307,289
,47,159939,159939.000000000000000,289,303,14,296.066781710527150,2.728545683147934,47352625.000000000000000,15,298,303,296
,48,157278,157278.000000000000000,285,297,12,287.806648100815100,3.053326919850817,45265654.000000000000000,13,286,297,286
,49,163601,163601.000000000000000,289,296,7,293.441788253128040,1.320480312794618,48007370.000000000000000,8,294,289,294
,50,163468,163468.000000000000000,284,294,10,289.899191279027090,2.209816905239700,47389241.000000000000000,11,291,294,291
,51,164491,164491.000000000000000,290,299,9,293.746654832179270,1.870817071027774,48318681.000000000000000,10,293,290,293
,52,166432,166432.000000000000000,289,301,12,293.384090799846210,2.647755825955192,48828501.000000000000000,13,292,301,293
,53,165331,165331.000000000000000,289,307,18,293.924992893044870,4.610165242202432,48594913.000000000000000,19,289,307,293
,54,162002,162002.000000000000000,289,304,15,294.231990963074510,2.999998028455102,47666171.000000000000000,16,294,289,294
,55,160793,160793.000000000000000,289,307,18,295.987853948865960,2.935911225671645,47592775.000000000000000,19,296,289,296
,56,159125,159125.000000000000000,288,302,14,294.204480754124120,2.407167361614021,46815288.000000000000000,15,295,302,295
,57,163870,163870.000000000000000,291,308,17,299.196478916214060,3.536093064504306,49029327.000000000000000,18,301,308,299
,58,159560,159560.000000000000000,290,309,19,296.000883680120350,3.368883904626462,47229901.000000000000000,20,296,309,296
,59,160307,160307.000000000000000,289,306,17,295.571010623366420,3.806299556540753,47382102.000000000000000,18,292,306,295
,60,157998,157998.000000000000000,285,299,14,292.703800048101870,3.789963316089873,46246615.000000000000000,15,296,285,293
