Rowid_,PLOT_NO,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,1,161836,161836.000000000000000,288,301,13,295.277756494228700,4.139523303317233,47786571.000000000000000,14,298,301,297
,2,160917,160917.000000000000000,290,300,10,295.052014392512890,2.264758851526401,47478885.000000000000000,11,294,290,295
,3,159729,159729.000000000000000,293,297,4,295.608355401962060,0.995343442309147,47217227.000000000000000,5,296,293,296
,4,160199,160199.000000000000000,293,304,11,299.405576813837800,2.070926723282476,47964474.000000000000000,12,300,304,300
,5,143182,143182.000000000000000,295,302,7,298.675971840035740,1.413995543414489,42765023.000000000000000,8,299,295,299
,6,163429,163429.000000000000000,296,301,5,298.437351999951030,1.010351033275267,48773318.000000000000000,6,299,301,299
,7,167044,167044.000000000000000,296,300,4,297.672583271473400,0.928451379165511,49724419.000000000000000,5,297,296,297
,8,160563,160563.000000000000000,295,302,7,296.084901253713500,1.477817363437079,47540280.000000000000000,8,295,302,295
,9,160600,160600.000000000000000,294,301,7,297.058910336239080,1.353045661120938,47707661.000000000000000,8,297,301,297
,10,162066,162066.000000000000000,292,302,10,296.741438673133190,2.130949975955195,48091698.000000000000000,11,298,302,297
,11,161491,161491.000000000000000,292,300,8,294.715061520456230,2.022089094543810,47593830.000000000000000,9,293,300,294
,12,158869,158869.000000000000000,293,305,12,297.230252598052460,2.022995908828790,47220673.000000000000000,13,296,305,297
,13,158166,158166.000000000000000,294,301,7,297.876566392271400,1.165158339542076,47113945.000000000000000,8,298,301,298
,14,159009,159009.000000000000000,290,303,13,298.006936714274050,2.162384639942606,47385785.000000000000000,14,298,290,298
,15,159803,159803.000000000000000,288,303,15,292.694893087113480,4.903769055269459,46773522.000000000000000,16,288,303,291
,16,164814,164814.000000000000000,287,296,9,289.267465142524320,2.458336068212153,47675328.000000000000000,10,288,296,288
,17,157902,157902.000000000000000,287,298,11,292.369013692036840,2.626559083510123,46165652.000000000000000,12,294,287,292
,18,160253,160253.000000000000000,289,299,10,291.095867160053160,3.051164595952996,46648986.000000000000000,11,289,295,290
,19,160385,160385.000000000000000,286,299,13,291.510028992736240,4.395481925895894,46753836.000000000000000,14,286,299,291
,20,161606,161606.000000000000000,286,295,9,289.773127235374940,1.510926047859214,46829076.000000000000000,10,289,295,289
,61,164149,164149.000000000000000,293,300,7,296.990898512936440,1.196267505777614,48750759.000000000000000,8,297,300,297
